,0
Returns,0.07606553
BB_Position,0.045127705
Price_to_SMA_20,0.043314
Vol_30d,0.039543528
SMA_5,0.03554962
SMA_200,0.034749787
Vol_20d,0.034137882
SMA_20,0.032673508
Price_to_SMA_50,0.029348642
Vol_10d,0.029007126
Vol_5d,0.028736671
ROC_10,0.02828811
Returns_Lag_2,0.02810376
MACD_Signal,0.027836813
Returns_Lag_3,0.027619079
Returns_Lag_5,0.027464177
BB_Upper,0.027139202
Returns_Lag_1,0.027119128
Returns_Lag_7,0.025307126
MACD_Hist,0.02524412
SMA_50,0.024931291
MACD,0.024838526
Volume_Lag_3,0.0242808
Volume_Lag_2,0.02426477
ROC_20,0.023896672
Volume_Lag_5,0.023153432
Volume_Lag_1,0.02212067
BB_Lower,0.021989865
RSI_14,0.021697504
Vol_Ratio_10d,0.020336628
Vol_Change,0.01977867
ATR_21,0.019771865
Vol_Ratio_20d,0.019651815
ATR_14,0.01898547
Vol_Ratio_5d,0.017926496
